"","wage","educ","exper","hrswk","married","female","metro","midwest","south","west","black","asian"
"978",7.25,13,11,25,1,1,1,1,0,0,0,0
"979",9,14,44,0,0,1,1,1,0,0,0,0
"980",27.7,21,13,50,0,1,1,0,1,0,1,0
"981",28,3,32,40,1,0,1,0,1,0,0,0
"982",12,16,37,40,1,1,1,1,0,0,0,0
"983",9.7,13,8,40,0,0,1,0,0,1,1,0
"984",7,12,24,40,1,1,0,0,1,0,0,0
"985",18.24,21,8,70,0,1,1,0,0,0,0,1
"986",25.95,18,40,40,1,1,1,0,1,0,0,0
"987",16.04,16,5,36,1,1,1,1,0,0,0,0
"988",14,12,20,40,0,1,1,0,0,1,0,0
"989",40.08,18,39,24,1,1,1,0,0,1,0,0
"990",8,12,7,40,0,1,1,0,0,1,0,0
"991",16.93,16,8,40,0,1,1,0,0,1,0,0
"992",11.5,12,19,25,0,0,0,1,0,0,0,0
"993",21.15,13,27,40,1,1,1,0,1,0,0,0
"994",7.2,16,21,40,1,1,1,1,0,0,0,0
"995",23.1,12,43,40,0,1,1,0,0,1,0,0
"996",16.83,16,27,40,1,1,1,1,0,0,0,0
"997",28.85,13,7,40,1,1,1,0,0,0,1,0
"998",11.25,14,5,40,0,1,1,0,0,1,0,0
"999",7.5,8,36,40,0,1,1,0,0,0,0,0
"1000",8.5,13,22,40,0,0,1,0,1,0,1,0
